NO,국문,영문,학명,관리현황,분류군,학명-수정,특성
179,열대자주꽃망초,,Cyanthillium cinereum</em> (L.) H.Rob.,유입주의 생물,식물,Cyanthillium cinereum,"Cyanthillium cinereum (also known as little ironweed and poovamkurunnal or poovamkurunnila in Malayalam, and monara kudumbiya in Sinhalese) is a species of perennial plants in the sunflower family. The species is native to tropical Africa and to tropical Asia (India, Sri Lanka, Indochina, Indonesia, etc.) and has become naturalized in Australia, Mesoamerica, tropical South America, the West Indies, and the US State of Florida.Cyanthillium cinereum is an annual herb up to 120 cm (4 feet) tall. It"
180,거울잉어,Mirror carp,Cyprinus carpio</em> var. specularis</em>,유입주의 생물,어류,Cyprinus carpio,"Mirror carp, regionally known as Israeli carp, are a type of domesticated fish commonly found in Europe but widely introduced or cultivated elsewhere. They are a variety of the common carp (Cyprinus carpio) developed through selective breeding. The name ""mirror carp"" originates from their scales' resemblance to mirrors. They can grow in excess of 60 lb (27 kg) – the last few British record fish have all been mirror carp."
181,포르투갈골담초,,Cytisus multiflorus</em> Sweet,유입주의 생물,식물,Cytisus multiflorus,"Cytisus multiflorus is a species of legume known by the common names white broom, white spanishbroom and Portuguese broom."
182,흰털열매골담초,"Striated broom, Portuguese broom",Cytisus striatus</em> (Hill) Rothm.,유입주의 생물,식물,Cytisus striatus,Cytisus striatus is a species of flowering plant in the legume family known by the common names hairy-fruited broom and Portuguese broom. This plant is native to the west of the Iberian Peninsula and northwestern Morocco.
183,아르메니아도마뱀,Armenian Lizard,Darevskia armeniaca</em>,유입주의 생물,파충류,Darevskia armeniaca,"Darevskia armeniaca,  commonly known as the Armenian lizard or the Armenian rock lizard, is a parthenogenetic (unisexually breeding) species (or form) of Darevskia, a genus of lizards belonging to the family Lacertidae, the wall lizards. Darevskia armeniaca is native to the Armenian Highland."
184,붉은방둥이아구티,Red-rumped agouti,Dasyprocta leporina</em>,유입주의 생물,포유류,Dasyprocta leporina,"The red-rumped agouti (Dasyprocta leporina), also known as the golden-rumped agouti, orange-rumped agouti or Brazilian agouti, is a species of agouti from the family Dasyproctidae."
185,아홉띠아르마딜로,Nine-banded armadillo,Dasypus novemcinctus</em>,유입주의 생물,포유류,Dasypus novemcinctus,"The nine-banded armadillo (Dasypus novemcinctus), also known as the nine-banded long-nosed armadillo or common long-nosed armadillo, is a mammal found in North, Central, and South America, making it the most widespread of the armadillos. Its ancestors originated in South America, and remained there until the formation of the Isthmus of Panama allowed them to enter North America as part of the Great American Interchange.
The nine-banded armadillo is a solitary, mainly nocturnal animal, found in m"
186,아프리카덩굴솜방망이,Cape ivy,Delairea odorata</em> Lem.,유입주의 생물,식물,Delairea odorata,"Cape ivy or  German ivy or parlor ivy or Italian ivy is probably:

Delairea odorata also known as Senecio mikanioidesbut might also be:

Senecio macroglossus also known as Natal ivy or waxvine
Senecio angulatus (in Australia)


== References =="
187,초원뾰족민달팽이,"Field slug, Grey field slug, Milky slug, Northern field slug",Deroceras agreste</em>,유입주의 생물,무척추동물,Deroceras agreste,"Deroceras agreste is a species of air-breathing land slug in the family Agriolimacidae. Its common names include field slug, grey field slug, milky slug, and northern field slug."
188,긴목뾰족민달팽이,"Long neck field slug, Brown field slug",Deroceras caruanae</em>,유입주의 생물,무척추동물,Deroceras caruanae,
189,갈색뾰족민달팽이,Tramp slug,Deroceras invadens</em>,유입주의 생물,무척추동물,Deroceras invadens,"Deroceras invadens is a species of air-breathing land slug, a terrestrial pulmonate gastropod mollusc in the family Agriolimacidae. Until 2011, this widely distributed species was known as Deroceras panormitanum, and earlier as Deroceras caruanae or Agriolimax caruanae, but Reise et al. (2011) showed that these names refer to a distinct species of similar external appearance known at that time only from Sicily and Malta. Consequently, although the more widespread species was already well known, "
190,정원뾰족민달팽이,,Deroceras subagrestis</em>,유입주의 생물,무척추동물,Deroceras subagrestis,
191,흡혈박쥐,Common vampire bat,Desmodus rotundus</em>,유입주의 생물,포유류,Desmodus rotundus,"The common vampire bat (Desmodus rotundus) is a small, leaf-nosed bat native to the Neotropics. It is one of three extant species of vampire bat, the other two being the hairy-legged and the white-winged vampire bats. The common vampire bat practices hematophagy, mainly feeding on the blood of livestock. The bat usually approaches its prey at night while they are sleeping. It then uses its razor-sharp teeth to cut open the skin of its hosts and lap up their blood with its long tongue.
The specie"
192,데몬두뿔옆새우,Demon shrimp,Dikerogammarus haemobaphes</em>,유입주의 생물,무척추동물,Dikerogammarus haemobaphes,"Dikerogammarus haemobaphes is a species of freshwater gammarid crustacean. These gammarids are commonly known as demon shrimp, likely because they are an extremely successful invasive species. 
Native to the Ponto Caspian basin, Dikerogammarus haemobaphes expanded their range in 1955. This expansion began in Lake Balaton, Hungary and then spread into certain rivers and lakes in Austria, Belgium, Germany, Poland, Russia, Ukraine, and the United Kingdom. These crustaceans likely broadened their ra"
193,인도마,"Chinese yam, Cinnamon vine",Dioscorea oppositifolia</em> L.,유입주의 생물,식물,Dioscorea oppositifolia,"Dioscorea oppositifolia  is a type of yam (Dioscorea) native to Myanmar (Burma) and to the Indian Subcontinent (India, Sri Lanka, Bangladesh)."
194,남아공완두,,Dipogon lignosus</em> (L.) Verdc.,유입주의 생물,식물,Dipogon lignosus,"Dipogon lignosus, the okie bean, Cape sweet-pea, dolichos pea or mile-a-minute vine, is a species of flowering plant in the legume family, Fabaceae. It is the only species classified in the monotypic genus Dipogon  which belongs to the subfamily Faboideae."
195,구린내금불초,Stinkwort,Dittrichia graveolens</em> (L.) Greuter,유입주의 생물,식물,Dittrichia graveolens,"Stinkwort is the common name given to plants of several species:

Datura stramonium L., family Solanaceae
Dittrichia graveolens (L.) W. Greuter, genus Dittrichia (formerly Inula graveolens (L.) Desf, genus Inula), family Asteraceae
Helleborus fœtidus L., family Ranunculaceae"
196,지중해금불초,,Dittrichia viscosa</em> (L.) Greuter,유입주의 생물,식물,Dittrichia viscosa,"Dittrichia viscosa, also known as false yellowhead, woody fleabane, sticky fleabane and yellow fleabane, is a flowering plant in the daisy family.
Dittrichia viscosa is a highly branching perennial common throughout the Mediterranean Basin. It has long, narrow leaves that are pointed at both ends and have teeth along the edges and glandular hairs on the surfaces. One plant can produce many yellow flower heads each with as many as 16 ray florets and 44 disc florets.Originally, the species was fou"
197,고양이발톱덩굴,Funnel creeper,Dolichandra unguis-cati</em> (L.) L.G.Lohmann,유입주의 생물,식물,Dolichandra unguis-cati,"Dolichandra unguis-cati, commonly known as cat's claw creeper, funnel creeper, or cat's claw trumpet, is a rapidly growing climbing vine belonging to the family Bignoniaceae. It affects all plant layers of the forest ecosystem spreading rapidly both vertically and horizontally."
198,아시아검은안경두꺼비,,Duttaphrynus melanostictus</em>,유입주의 생물,양서류,Duttaphrynus melanostictus,"Duttaphrynus melanostictus is commonly called Asian common toad, Asian black-spined toad, Asian toad, black-spectacled toad, common Sunda toad, and Javanese toad. It is probably a complex of more than one true toad species that is widely distributed in South and Southeast Asia.The species grows to about 20 cm (8 in) long. Asian common toads breed during the monsoon, and their tadpoles are black. Young toads may be seen in large numbers after monsoon rains finish."
199,돼지거미,Woodlouse spider,Dysdera crocata</em>,유입주의 생물,무척추동물,Dysdera crocata,"The woodlouse spider (Dysdera crocata) is a species of spider that preys primarily upon woodlice. Other common names refer to variations on the common name of its prey, including woodlouse hunter, sowbug hunter, sowbug killer, pillbug hunter and slater spider."
200,야생오이,Wild cucumber,Echinocystis lobata</em> Torr. &amp; A. Gray,유입주의 생물,식물,Echinocystis lobata,"Wild cucumber may refer to

Echinocystis, a genus of gourds found throughout most of North America
Marah, a genus of gourds native to western North America
Armenian cucumber, a melon which when pickled is sold as ""pickled wild cucumber"" in Middle Eastern markets"
201,유럽푸른지치,"Viper&apos;s bugloss, Blueweed",Echium vulgare</em> L.,유입주의 생물,식물,Echium vulgare,"Echium vulgare, known as viper's bugloss and blueweed, is a species of flowering plant in the borage family Boraginaceae. It is native to most of Europe and western and central Asia and it occurs as an introduced species in north-eastern North America, south-western South America and the South and North Island of New Zealand. The plant root was used in ancient times as a treatment for snake or viper bites. If eaten, the plant is toxic to horses and cattle through the accumulation of pyrrolizidin"
202,자주초원기장풀,,Ehrharta calycina</em> Sm.,유입주의 생물,식물,Ehrharta calycina,Ehrharta calycina is a species of grass known by the common names perennial veldtgrass and purple veldtgrass.
203,초원기장풀,"Panic veld grass, panic veldtgrass",Ehrharta erecta</em> Lam.,유입주의 생물,식물,Ehrharta erecta,"Ehrharta erecta is a species of grass commonly known as panic veldtgrass. The species is native to Southern Africa and Yemen. It is a documented invasive species in the United States, New Zealand, Australia, southern Europe, and China.The species is perennial, and normally grows to about 30 to 50 centimeters, although it may reach two meters in height. It will grow in a wide variety of habitats, even in shade.The species has been used for birdseed, and in ecological restoration such as dune stab"
204,긴꽃초원기장풀,Long-flowered Veldtgrass,Ehrharta longiflora</em> Eckl. ex Schult.f.,유입주의 생물,식물,Ehrharta longiflora,
205,닻부레옥잠,"Anchored water hyacinth, rooted water hyacinth",Eichhornia azurea</em> (Sw.) Kunth,유입주의 생물,식물,Eichhornia azurea,"Pontederia azurea is a water hyacinth from the Americas, sometimes known as anchored water hyacinth. It is the type species of Pontederia subg. Eichhornia, which was previously recognized as part of the polyphyletic genus Eichhornia. It is of some interest as an aquarium plant."
206,사불상,Pere David&apos;s deer,Elaphurus davidianus</em>,"외래생물, 유입주의 생물",포유류,Elaphurus davidianus,"The Père David's deer (Elaphurus davidianus), also known as the milu (Chinese: 麋鹿; pinyin: mílù) or elaphure, is a species of deer native to the subtropical river valleys of China. It grazes mainly on grass and aquatic plants. It is the only extant member of the genus Elaphurus. Some experts suggest demoting Elaphurus to a subgenus of Cervus. Based on genetic comparisons, Père David's deer is closely related to Eld's deer.Père David's deer were hunted almost to extinction in their native China b"
207,코키개구리,,Eleutherodactylus coqui</em>,유입주의 생물,양서류,Eleutherodactylus coqui,"The common coquí or coquí (Eleutherodactylus coqui) is a species of frog native to Puerto Rico belonging to the family Eleutherodactylidae. The species is named for the loud call the males make at night. This sound serves two purposes. ""CO"" serves to repel other males and establish territory while the ""KEE"" serves to attract females. Since the auditory systems of males and females respond preferentially to different notes of the male call, this is an example of a sex difference in a sensory syst"
208,소앤틸리스휘슬개구리,,Eleutherodactylus johnstonei</em>,유입주의 생물,양서류,Eleutherodactylus johnstonei,"The Antilles coqui (Eleutherodactylus johnstonei), commonly known as the Montserrat whistling frog, Barbados whistling frog, or the Lesser Antillean whistling frog, is a species of frog in the family Eleutherodactylidae found in Bermuda, the Caribbean and northern South America.
Its natural habitats are subtropical or tropical moist lowland forest, subtropical or tropical moist montane forest, subtropical or tropical moist shrubland, subtropical or tropical dry lowland grassland, arable land, pa"
209,온실개구리,,Eleutherodactylus planirostris</em>,유입주의 생물,양서류,Eleutherodactylus planirostris,"The greenhouse frog (Eleutherodactylus planirostris) is a species of frog in the family Eleutherodactylidae, native to Cuba, the Bahamas, and the Cayman Islands, and it has been introduced to other areas, such as Florida, Hawaii, Guam, Hong Kong and Shenzhen."
210,뜰겨울잠쥐,Garden dormouse,Eliomys quercinus</em>,유입주의 생물,포유류,Eliomys quercinus,The garden dormouse (Eliomys quercinus) is a species of dormouse native to Europe.
211,캐나다말,Western waterweed,Elodea nuttallii</em> (Planch.) H. St. John,유입주의 생물,식물,Elodea nuttallii,"Elodea nuttallii is a species of waterweed known by the common name western waterweed or Nuttall's waterweed. This is a perennial aquatic plant which is native to North America where it grows submersed in lakes, rivers, and other shallow water bodies. It is also found in Eurasia, where it is commonly weedy; it is not known as a weed species in its native range. It is sometimes used as an aquarium plant."
212,노란뺨긴황어,Yellow cheek,Elopichthys bambusa</em>,"외래생물, 유입주의 생물",어류,Elopichthys bambusa,"Elopichthys bambusa, the yellowcheek or kanyu (Chinese: 鱤魚; pinyin: gǎnyú), is a large cyprinid fish that is found in freshwater habitats in eastern Asia. It ranges from the Amur River in Russia, through China to the Red and Lam Rivers in Vietnam. It prefers relatively warm waters, entirely avoiding colder highlands. It is considered an important food fish where it occurs, reaching up to 2 m (6 ft 7 in) in total length and 52.2 kg (115 lb) in weight.This fish spawns in the summer, mainly in stre"
213,가시개소리쟁이,Devil’s thorn,Emex spinosa</em> (L.) Campd.,유입주의 생물,식물,Emex spinosa,"Rumex spinosus (synonym Emex spinosa), commonly known as devil's thorn, spiny dock, or lesser jack, is an annual herbaceous plant of the Polygonaceae. It originates in the warmer parts of the old world, but now has spread with humans to other places. It is common in disturbed areas, especially in sandy soils. It has shown some weedy behaviour in restricted areas within southern Australia."
214,줄무늬블루길,,Enneacanthus obesus</em>,유입주의 생물,어류,Enneacanthus obesus,"The banded sunfish (Enneacanthus obesus) is a freshwater fish of the family, Centrarchidae. They can grow to 2–3 inches long. They are native to North America."
215,콜롬비아무지개보아,Colombian rainbow boa,Epicrates maurus</em>,유입주의 생물,파충류,Epicrates maurus,"Epicrates maurus is a species of non-venomous constrictor in the family Boidae, commonly found in the Amazon region of South America. The common name for this species is the brown rainbow boa. This species is semi-arboreal, spending time both on the ground and climbing trees and shrubs, although they are also known to swim. They are nocturnal and primarily active in the middle of the night. Rainbow boas are known for their attractive iridescent sheen on their scales in the sunlight."
216,서유럽황갈색두꺼비,Natterjack toad,Epidalea calamita</em>,유입주의 생물,양서류,Epidalea calamita,"The natterjack toad (Epidalea calamita) is a toad native to sandy and heathland areas of Europe. Adults are 60–70 mm in length, and are distinguished from common toads by a yellow line down the middle of the back and parallel paratoid glands. They have relatively short legs, which gives them a distinctive gait, contrasting with the hopping movement of many other toad species.
Natterjacks have a very loud and distinctive mating call amplified by the single vocal sac found under the chin of the ma"
217,프랑켓견장과일박쥐,Franquet’s epauletted fruit bat,Epomops franqueti</em>,유입주의 생물,포유류,Epomops franqueti,"Franquet's epauletted fruit bat (Epomops franqueti) is a species of megabat in the family Pteropodidae, and is one of three different species of epauletted bats. Franquet's epauletted fruit bat has a range of habitats, varying from Subsaharan forest to equatorial tropics."
218,갈래잎붉은서나물,Tropical burnweed,Erechtites valerianifolius</em> (Link ex Spreng.) DC.,유입주의 생물,식물,Erechtites valerianifolius,"Erechtites valerianifolius, common name tropical burnweed is a New World species of plants in the sunflower family. It is native to Mexico, Central America, South America, and the West Indies. It is also naturalized as a weed in much of the tropical Old World."
219,유럽가솔송,"Spanish heath, Portuguese heath",Erica lusitanica</em> Rudolphi,유입주의 생물,식물,Erica lusitanica,"Erica lusitanica is a species of flowering plant in the family Ericaceae, known by the common names Portuguese heath and Spanish heath. It is native to Portugal, Spain and southwestern France. It is named for Lusitania, a historical region encompassing most of modern Portugal and parts of western Spain."
220,갈색가슴고슴도치,,Erinaceus europaeus</em> ssp. occidentalis</em>,유입주의 생물,포유류,Erinaceus europaeus,"The European hedgehog (Erinaceus europaeus), also known as the West European hedgehog or common hedgehog, is a hedgehog species native to Europe from Iberia and Italy northwards into Scandinavia and westwards into the British Isles. It is a generally common and widely distributed species that can survive across a wide range of habitat types. It is a well-known species, and a favourite in European gardens, both for its endearing appearance and its preference for eating a range of garden pests. Wh"
221,북방민물꼬치고기,Northern pike,Esox lucius</em>,유입주의 생물,어류,Esox lucius,"The northern pike (Esox lucius) is a species of carnivorous fish of the genus Esox (pikes). They are commonly found in moderately salty and fresh waters of the Northern Hemisphere (i.e. holarctic in distribution). They are known simply as a pike (PL: pike) in Great Britain, Ireland, most of Eastern Europe, Canada and the U.S.
Pike can grow to a relatively large size. Their average length is about 40–55 cm (16–22 in), with maximum recorded lengths of up to 150 cm (59 in) and maximum weights of 28"
222,검정민물꼬치고기,Chain pickerel,Esox niger</em>,유입주의 생물,어류,Esox niger,The chain pickerel (Esox niger) is a species of freshwater fish in the pike family (family Esocidae) of order Esociformes. The chain pickerel and the American pickerel (E. americanus) belong to the Esox genus of pike.
223,긴꼬리단풍조,,Estrilda astrild</em>,유입주의 생물,조류,Estrilda astrild,"The common waxbill (Estrilda astrild), also known as the St Helena waxbill, is a small passerine bird belonging to the estrildid finch family. It is native to sub-Saharan Africa but has been introduced to many other regions of the world and now has an estimated global extent of occurrence of 10,000,000 km2. It is popular and easy to keep in captivity."
224,붉은늑대달팽이,"Cannibal snail, Rosige wolfsschnecke, Rosy wolf snail",Euglandina rosea</em>,유입주의 생물,무척추동물,Euglandina rosea,"Euglandina rosea, the rosy wolfsnail or cannibal snail, is a species of medium-sized to large predatory air-breathing land snail, a carnivorous terrestrial pulmonate gastropod mollusk in the family Spiraxidae.This species is a fast and voracious predator, hunting and eating other snails and slugs. The rosy wolfsnail was introduced into Hawaii in 1955 as a biological control for the invasive African land snail, Lissachatina fulica. This snail is responsible for the extinction of an estimated eigh"
225,꼬마포인세티아,Dwarf poinsettia,Euphorbia cyathophora</em> Murray,유입주의 생물,식물,Euphorbia cyathophora,"Euphorbia cyathophora, known by various names including dwarf poinsettia, fire-on-the-mountain, and paintedleaf, is native to North and South America and naturalized elsewhere. They belong to the Cyathium type of inflorescence. Here, the inflorescence axis is convex in shape."
226,발칸털대극,"Eggleaf spurge, Balkan spurge",Euphorbia oblongata</em>,유입주의 생물,식물,Euphorbia oblongata,"Euphorbia oblongata is a species of spurge known by the common names Balkan spurge, eggleaf spurge and oblong spurge. It is native to Eurasia but can be found elsewhere as a weedy introduced species. This is a hairy perennial herb growing to maximum heights of just over half a metre. It has oval-shaped or narrow leaves with finely toothed edges which are 4 to 6 centimetres long. The foliage is green to yellow-green. The inflorescences hold tiny glandular flowers. The fruit is a spherical capsule"
227,테라치나대극,,Euphorbia terracina</em> L.,유입주의 생물,식물,Euphorbia terracina,"Euphorbia terracina, the Geraldton carnation weed, is a species of perennial herb in the family Euphorbiaceae. It has a self-supporting growth form and simple, broad leaves. Flowers are visited by Lipotriches brachysoma, Lipotriches natalensis, Lipotriches crassula, and Nomia bouyssoui."
228,동인도갈색도마뱀,East Indian Brown Mabuya,Eutropis multifasciata</em>,유입주의 생물,파충류,Eutropis multifasciata,"Eutropis multifasciata, commonly known as the East Indian brown mabuya, many-lined sun skink, many-striped skink, common sun skink or (ambiguously) as golden skink, is a species of skink."
229,중국닭의덩굴,,Fallopia baldschuanica</em> (Regel) Holub,유입주의 생물,식물,Fallopia baldschuanica,"Fallopia baldschuanica (syn. Polygonum baldschuanicum) is an Asian species of flowering plant in the knotweed family known by several common names, including Russian-vine, Bukhara fleeceflower,  Chinese fleecevine, mile-a-minute and silver lace vine. It is native to Asia (China, Russia, Kazakhstan, etc.), and is growing wild in parts of Europe and North and Central America as an introduced species.Some authors split the species in two, referring to the Chinese populations as Fallopia aubertii an"
230,히로시마늪개구리,Japanese Rice frog,Fejervarya kawamurai</em>,유입주의 생물,양서류,Fejervarya kawamurai,"Fejervarya kawamurai is a species of frog in the family Dicroglossidae. It is endemic to Taiwan, Japan (Ryukyu Islands and Honshu), and China. It belongs to the Fejervarya limnocharis species complex."
231,보이에사마귀개구리,"Alpine cricket frog, Boie&apos;s wart frog",Fejervarya limnocharis</em>,유입주의 생물,양서류,Fejervarya limnocharis,"Fejervarya limnocharis is a species of frog found in South East Asia and parts of Indochina. It is known under many common names, including Boie's wart frog, rice field frog, and Asian grass frog. Molecular studies of the species complex (after Boulenger) suggest that there may be multiple species involved."
232,사키시마늪개구리,Sakishima rice frog,Fejervarya sakishimensis</em>,유입주의 생물,양서류,Fejervarya sakishimensis,Fejervarya sakishimensis is a species of frogs in the family Dicroglossidae. It is endemic to Taiwan and the Ryukyu Islands of Japan. It belongs to the Fejervarya limnocharis species complex.
233,아메리카해변미역취,Coastal plain yellowtops,Flaveria bidentis</em> (L.) Kuntze,유입주의 생물,식물,Flaveria bidentis,"Flaveria bidentis, the coastal plain yellowtops, is a South American plant species of Flaveria within the family Asteraceae. It is native to South America, and naturalized in many places (Mexico, Central America, the West Indies, the southeastern United States, Europe, Africa, Asia, etc.).In the U.S. it was introduced into the states of Georgia, Alabama and Florida.Flaveria bidentis  is an annual herb up to 100 cm (39.5 in) tall. One plant can sometimes produce 100 or more flower heads in a tigh"
234,북미점박이송사리,,Fundulus catenatus</em>,유입주의 생물,어류,Fundulus catenatus,The northern studfish (Fundulus catenatus) is the largest of the killifish and is native to the southcentral United States.
235,유럽털향유,Common hemp-nettle,Galeopsis tetrahit</em>,유입주의 생물,식물,Galeopsis tetrahit,"Galeopsis tetrahit, the common hemp-nettle or brittlestem hempnettle, is a flowering plant in the family Lamiaceae, native to Europe and northwestern Asia.
It is a herbaceous annual plant growing to 1 m tall; it is a pioneer species and thrives on disturbed sites or roadsides. The plant looks like mint but is taller. The stems have reflexed hairs and swollen nodes. In cross section, the stem is square. The leaves are rhombic to elliptic, with coarsely to bluntly serrate edges. The flowers are mu"
236,모기송사리,Mosquito fish,Gambusia affinis</em>,유입주의 생물,어류,Gambusia affinis,"The western mosquitofish  (Gambusia affinis) is a North American freshwater fish, also known commonly, if ambiguously, as simply mosquitofish or by its generic name, Gambusia, or by the common name gambezi. Its sister species, the eastern mosquitofish (Gambusia holbrooki) is also referred to by these names.
Mosquitofish are small in comparison to many other freshwater fish, with females reaching a maximum length of 7 cm (2.8 in) and males a maximum length of 4 cm (1.6 in). The female can be dist"
237,동부모스퀴토피쉬,Eastern mosquitofish,Gambusia holbrooki</em>,유입주의 생물,어류,Gambusia holbrooki,"The eastern mosquitofish (Gambusia holbrooki) is a species of freshwater fish, closely related to the western mosquitofish, Gambusia affinis. It is a member of the family Poeciliidae of order Cyprinodontiformes. The eastern mosquitofish is native to the eastern and southern United States from Florida to Pennsylvania and inland to Alabama and Tennessee, while the western mosquitofish has a larger distribution throughout the United States."
238,가면웃음지빠귀,,Garrulax perspicillatus</em>,유입주의 생물,조류,Garrulax perspicillatus,The masked laughingthrush (Pterorhinus perspicillatus) is a species of laughingthrush found in China and Vietnam. It is often seen in small noisy flocks of seven. Its Chinese name [七姊妹 qī zǐ-mèi] means 'seven sisters'.
239,흰눈썹웃음지빠귀,,Garrulax sannio</em>,유입주의 생물,조류,Garrulax sannio,"The white-browed laughingthrush (Pterorhinus sannio) is a bird in the family Leiothrichidae. The species was first described by Robert Swinhoe in 1867. It is found in China, Hong Kong, India, Laos, Myanmar, Thailand, and Vietnam.
This species was formerly placed in the genus Garrulax but following the publication of a comprehensive molecular phylogenetic study in 2018, it was moved to the resurrected genus Pterorhinus."
240,작은머리큰가시고기,Smallhead stickleback,Gasterosteus microcephalus</em>,유입주의 생물,어류,Gasterosteus microcephalus,"The smallhead stickleback (Gasterosteus microcephalus), or resident threespined stickleback, is a fish species, which widespread in the basin of the Pacific Ocean: Japan, also Mexico. Freshwater demersal fish, up to 5.5 cm (2.2 in) length. Habits small streams, where feeds on aquatic insects and other invertebrates. This taxon is regarded by some authorities as a synonym of the three-spined stickleback (G. aculeatus), and others treat it as a subspecies of the three-spined stickleback, G. a. mic"
241,북미동부맹꽁이,,Gastrophryne carolinensis</em>,유입주의 생물,양서류,Gastrophryne carolinensis,"Gastrophryne carolinensis, the eastern narrow-mouthed toad, is a species of microhylid frog. It is a relatively small, toad-like amphibian found in damp, shady habitats. The species is highly fossorial, and feeds primarily on ants. These North American microhylids (Family: Microhylidae) are distinguished from true toads (genus Bufo), and other anurans by their moist, smooth skin, their lack of eardrums or tympana, their distinguishable squat body shape, and the unique fold of skin superior to th"
242,지중해골담초,"Mediterranean broom, Flax-leaf broom",Genista linifolia</em> L.,유입주의 생물,식물,Genista linifolia,"Genista linifolia is a species of broom known by the common names Mediterranean broom, needle-leaved broom and flax broom. It is native to southwestern Europe, North Africa, and the Canary Islands."
243,프랑스골담초,"Frech broom, Montpellier broom",Genista monspessulana</em> (L.) L.A.S.Johnson,유입주의 생물,식물,Genista monspessulana,"Genista monspessulana, commonly known as French broom, Montpellier broom, or Cape broom (Australia), is a woody leguminous perennial shrub. The yellow-flowering bush is native to the Mediterranean region, and while it may still be commonly sold in some garden stores, it is considered an invasive plant in most places where it has been introduced. It is a noxious weed on the western coast of the US and in parts of Australia."
244,평화비둘기,Peaceful dove,Geopelia placida</em>,유입주의 생물,조류,Geopelia placida,"The peaceful dove (Geopelia placida) is a pigeon native to Australia and New Guinea. The peaceful dove is closely related to the zebra dove of south-east Asia and the barred dove of eastern Indonesia. Until recently, the three were classed as a single species, Geopelia striata, known as peaceful dove or zebra dove."
245,큰겨울잠쥐,Edible dormouse,Glis glis </em>,유입주의 생물,포유류,Glis glis ,"Glis is a genus of rodent that contains two extant species, both known as edible dormice or fat dormice: the European edible dormouse (Glis glis) and the Iranian edible dormouse (Glis persicus). It also contains a number of fossil species."
246,비와호줄몰개,"Biwa moroko gudgeon, Honmoroko, Biwa gudgeon",Gnathopogon caerulescens</em>,유입주의 생물,어류,Gnathopogon caerulescens,"Gnathopogon caerulescens is a species of ray-finned fish in the genus Gnathopogon endemic to Lake Biwa in Japan.


== References =="
247,일본긴줄몰개,Field Gudgeon,Gnathopogon elongatus elongatus</em>,유입주의 생물,어류,Gnathopogon elongatus elongatus,
248,북미지도거북,Common map turtle,Graptemys geographica</em>,유입주의 생물,파충류,Graptemys geographica,"The northern map turtle (Graptemys geographica), also known as the common map turtle, is an aquatic turtle in the family Emydidae. It is endemic to North America."
249,가짜지도거북,False map turtle,Graptemys pseudogeographica</em>,유입주의 생물,파충류,Graptemys pseudogeographica,"The false map turtle (Graptemys pseudogeographica) is a species of turtle endemic to the United States. It is a common pet species. Two subspecies are recognized, including the nominotypical subspecies described here."
250,러프민물농어,,Gymnocephalus cernua</em>,유입주의 생물,어류,Gymnocephalus cernua,"The ruffe (Gymnocephalus cernua), also known as the Eurasian ruffe or pope, is a freshwater fish found in temperate regions of Europe and northern Asia. It has been introduced into the Great Lakes of North America, reportedly with unfortunate results, as it is invasive and is reproducing faster than other species. Its common names are ambiguous – ""ruffe"" may refer to any local member of its genus Gymnocephalus, which as a whole is native to Eurasia."
251,호주까치,,Gymnorhina tibicen</em>,유입주의 생물,조류,Gymnorhina tibicen,"The Australian magpie (Gymnorhina tibicen) is a black and white passerine bird native to Australia and southern New Guinea, and introduced to New Zealand. Although once considered to be three separate species, it is now considered to be one, with nine recognised subspecies. A member of the Artamidae, the Australian magpie is placed in its own genus Gymnorhina and is most closely related to the black butcherbird (Melloria quoyi). It is not closely related to the European magpie, which is a corvid"
252,호주갈색깔때기거미,"Northern tree funnel-web spider, Northern rivers funnel-web spider",Hadronyche formidabilis</em>,유입주의 생물,무척추동물,Hadronyche formidabilis,"Hadronyche formidabilis, the northern tree-dwelling funnel-web spider, is a medically significant mygalomorph spider found in Queensland and New South Wales. It is also known as the Northern Rivers funnel-web spider or northern funnel-web spider."
253,호주검은깔때기거미,Blue mountains funnel–web spider,Hadronyche versuta</em>,유입주의 생물,무척추동물,Hadronyche versuta,"Hadronyche versuta, the Blue Mountains funnel-web spider, is a venomous mygalomorph spider found in central New South Wales."
254,버들잎하케아,,Hakea salicifolia</em> (Vent.) B.L.Burtt,유입주의 생물,식물,Hakea salicifolia,"Hakea salicifolia commonly known as the willow-leaved hakea, is species of flowering plant that is endemic to eastern Australia. It is an adaptable, fast growing small tree or shrub with attractive foliage and cream white flowers."
255,아랄해수송나물,,Halogeton glomeratus</em> (M.Bieb.) Ledeb.,유입주의 생물,식물,Halogeton glomeratus,"Halogeton glomeratus is a species of flowering plant in the family Amaranthaceae known by the common names saltlover, Aral barilla, and halogeton. It is native to Russia, Central Asia and China, but the plant is probably better known in the western United States, where it is an introduced species and a notorious noxious weed. This annual herb is a hardy halophyte, thriving in soils far too saline to support many other plants. It also grows in alkali soils such as those on alkali flats and distur"
